지점번호|요소|날짜/시각|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|
143|강수량 (mm)|20200806|0.0||0.0|0.0|0.0||||||2.3|5.6|2.0|0.0|||||||||||
143|강수량 (mm)|20200807|||||||0.0|16.4|1.0|3.3|0.1|2.1|16.3|13.7|7.5|3.5|7.2|2.1|3.8|2.7|3.5|0.3|1.0|0.2|
143|강수량 (mm)|20200808|13.3|17.5|21.9|2.9|7.2|5.6|5.4|7.8|5.6|4.0|3.4|16.6|6.1|5.9|11.1|4.0|1.6|21.0|7.0|0.3|||||
143|강수량 (mm)|20200809|0.0|0.0|0.0|0.5|||||||||0.0|0.0||||||||||0.0|
143|강수량 (mm)|20200810|0.0|0.0|0.0|0.0|0.2|0.1|0.4|0.1|0.6|0.0|0.0||0.8|0.0|0.5|0.0|0.7|1.3|13.4|0.0||0.0|||
143|강수량 (mm)|20200811|0.0|0.1|||||||||||||0.1|2.8|||||0.6|1.2|0.0||
143|강수량 (mm)|20200812|||||||||||||||||||||||||
143|강수량 (mm)|20200813|||||||||||||||||||||||||
143|강수량 (mm)|20200814|||||||||||||||||||||||||
143|강수량 (mm)|20200815|||||||||||||||||||||||||
143|강수량 (mm)|20200816|||||||||||||||||||||||||
143|강수량 (mm)|20200817|||||||||||||||||||||||||
143|강수량 (mm)|20200818|||||||||||||||||||||||||
143|강수량 (mm)|20200819|||||||||||||||||||||||||
143|강수량 (mm)|20200820|||||||||||||||||||||||||
143|강수량 (mm)|20200821|||||||||||||||||||||||||
143|강수량 (mm)|20200822|||||||||||||||||||||||||
143|강수량 (mm)|20200823|0.0|0.0|||||||||||||||||||||||
143|강수량 (mm)|20200824|||||||||||||||||||||||||
143|강수량 (mm)|20200825|||||||||||||||||||||||||
143|강수량 (mm)|20200826|||||||||||||||||||||||||
143|강수량 (mm)|20200827|||0.0|4.6|2.3|0.1|0.1||||||||||||||||||
143|강수량 (mm)|20200828|||||||||||||0.0||||||||||||
143|강수량 (mm)|20200829|||||||||||0.5||||||||||||||
143|강수량 (mm)|20200830||||||||||||||||||0.0|27.8|1.0|||||
143|강수량 (mm)|20200831|||||||||||||||||||||||||
143|강수량 (mm)|20200901|||||||||||||||||||0.0|0.0|0.0|0.0|||
143|강수량 (mm)|20200902|||0.1|0.0|||0.7|8.6|14.0|5.2|0.3|||||||0.0|0.2|8.1|1.6|0.3|3.4|2.2|
143|강수량 (mm)|20200903|5.9|6.6|11.7|13.6|2.0|4.2|0.0|0.0|||0.8|0.0|||||||||||||
143|강수량 (mm)|20200904|||||||||||||||||||||||||
143|강수량 (mm)|20200905|||||||||||||0.0|0.8|0.7|0.2|0.3|0.1|0.0|0.2|0.1|0.8|0.3|0.5|
143|강수량 (mm)|20200906|0.3|2.9|0.1|||||||||0.7|1.2|0.0||0.0|0.0|1.5|1.4|0.3|1.6|4.7|2.6|1.0|
143|강수량 (mm)|20200907|0.4|0.6|1.3|1.2|1.4|4.0|4.0|5.2|5.8|7.1|2.1|1.3|||||||||||||
143|강수량 (mm)|20200908|||||||||||||||||||0.0||||||
143|강수량 (mm)|20200909|||||||||0.0|1.2|||||||||||||||
143|강수량 (mm)|20200910|||0.9|0.7|||||||||||||||||||||
143|강수량 (mm)|20200911||||0.0||||0.0|0.2|||||||||0.0|1.5|0.2|0.0|0.0|0.4|1.0|
143|강수량 (mm)|20200912|0.6|0.0|0.1|0.5|0.0|0.7|0.9|0.0|0.0|0.2|0.3|0.3|0.1|0.1|0.0||||||||||
143|강수량 (mm)|20200913|||||||||||||||||||||||||
143|강수량 (mm)|20200914|||||||||||||||||||||||||
143|강수량 (mm)|20200915|||||||||||||||||||||||||
143|강수량 (mm)|20200916|||||0.1|0.2|0.1|0.0|0.0|0.9|0.0||||||||||||||
143|강수량 (mm)|20200917||||||||||0.3|0.0|||0.0|0.0|0.0|0.0|0.0|0.0|0.2|1.0|0.1|0.0|0.1|
143|강수량 (mm)|20200918|0.2|0.0|0.0|0.0|0.0|0.1|0.7|0.9|||||||||||||||||
143|강수량 (mm)|20200919|||||||||||||||||||||||||
143|강수량 (mm)|20200920|||||||||||||||||||||||||
143|강수량 (mm)|20200921|||||||||||||||||||||||||
143|강수량 (mm)|20200922|||||||||||||||||||||||||
143|강수량 (mm)|20200923|||||||||||||||||||||||||
143|강수량 (mm)|20200924|||||||||||||||||0.0||||||||
143|강수량 (mm)|20200925|||||||||||||||||||||||||
143|강수량 (mm)|20200926||||||||||||||||0.0|0.0||||||||
143|강수량 (mm)|20200927|||||||||||||||||||||||||
143|강수량 (mm)|20200928|||||||||||||||||||||||||
143|강수량 (mm)|20200929|||||||||||||||||||||||||
143|강수량 (mm)|20200930|||||||||||||||||||||||||
143|강수량 (mm)|20201001|||||||||||||||||||||||||
143|강수량 (mm)|20201002|||||||||||||||||||||||||
143|강수량 (mm)|20201003||||0.0|0.6|0.3|0.1||||||||||||||||||
