지점번호|요소|날짜/시각|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|
281|강수량 (mm)|20190715|||||||||||||||||||||0.3|0.2|0.0|0.5|
281|강수량 (mm)|20190716|1.0|0.0|0.0||||||||||||||||||||||
281|강수량 (mm)|20190717|||||||||||||||||||||||||
281|강수량 (mm)|20190718|0.1|0.4|0.5|0.0|0.0|2.0|0.5|1.5|0.5|0.0|||||||||||||||
281|강수량 (mm)|20190719|||||||||||||||||0.5|0.5|||0.0|1.0|0.0|0.5|
281|강수량 (mm)|20190720|0.5|3.0|1.0|1.0|1.0|3.0|5.0|7.0|3.0|2.0|7.0|4.5|6.0|5.0|1.5|1.5|1.5|1.5|0.0||0.0|0.5|4.5|0.5|
281|강수량 (mm)|20190721|0.0|0.5|0.0|0.5|3.5|2.5|2.0|1.0|1.0|0.0|||||0.5|0.0|||||||||
281|강수량 (mm)|20190722|||||||||||||||||||||||||
281|강수량 (mm)|20190723|||||||||||||||||||||||||
281|강수량 (mm)|20190724|||||||||||||||||0.0|0.0|||||||
281|강수량 (mm)|20190725||||||0.0|0.5|1.5|2.5|0.5|0.0||||||||||||||
281|강수량 (mm)|20190726|||||||||||||||||||||||||
281|강수량 (mm)|20190727|||||||||||||||||||||||||
281|강수량 (mm)|20190728|||||||||||||||||||||||||
281|강수량 (mm)|20190729|||||||||||||||||||||||||
281|강수량 (mm)|20190730|||||||||||||||||||||||||
281|강수량 (mm)|20190731|||||||||||||||||||||||||
281|강수량 (mm)|20190801|||||||||||||||||||||||||
281|강수량 (mm)|20190802|||||||||||||||||||||||||
281|강수량 (mm)|20190803|||||||||||||||||||||||||
281|강수량 (mm)|20190804|||||||||||||||||||||||||
281|강수량 (mm)|20190805|||||||||||||||||||||||||
281|강수량 (mm)|20190806||||||||||||||||0.3|0.7|2.5|2.0|2.0|4.0|9.0|0.5|0.5|
281|강수량 (mm)|20190807|0.5|0.5|0.0|0.5|1.0|0.0|0.0|0.5||||||||6.5|0.0|0.0|||||||
281|강수량 (mm)|20190808|||||||||||||||||8.0|0.0|||||||
281|강수량 (mm)|20190809|||||||||||||||||||||||||
281|강수량 (mm)|20190810|||||||||||||||||||||||||
281|강수량 (mm)|20190811|||||||||||||||||||||||||
281|강수량 (mm)|20190812|||||||||||||||||||||||||
281|강수량 (mm)|20190813|||||||||||||||||||||||||
281|강수량 (mm)|20190814|||||||||||||||||||||||0.1|0.6|
281|강수량 (mm)|20190815|0.5|0.0|||||||0.0||0.0|0.0|0.5|7.5|4.5|2.0|0.0|0.0||0.0|||||
281|강수량 (mm)|20190816|||||||||||||||||||||||||
281|강수량 (mm)|20190817|||||||||||||||||||||||||
281|강수량 (mm)|20190818|||||||||||||||||||||||||
281|강수량 (mm)|20190819|||||||||||||||||||||||||
281|강수량 (mm)|20190820|||||||||||||||||||||||||
281|강수량 (mm)|20190821||||||||||||||||0.0|0.0|0.2|0.2|1.1|0.0|0.0|1.0|11.5|
281|강수량 (mm)|20190822|7.5|0.0|3.0|31.5|9.0|7.0|2.5|3.0|2.0|1.0|3.0|7.5|6.0|2.0|||||||||||
281|강수량 (mm)|20190823|||||||0.0||||||||||||||||||
281|강수량 (mm)|20190824|||||||||||||||||||||||||
281|강수량 (mm)|20190825|||||||||||||||||||||||||
281|강수량 (mm)|20190826|||||||||||||||||||||||||
281|강수량 (mm)|20190827|||||0.0|||0.5|1.0|0.0|2.0|0.0|10.5|2.5|0.5|0.0|||||||||
281|강수량 (mm)|20190828|||||||0.1|0.1|1.3|1.5|0.5||||||||||||||
281|강수량 (mm)|20190829|||||||0.1|0.1|||||||||||||||||
281|강수량 (mm)|20190830|||||||||||||||||||||||||
281|강수량 (mm)|20190831|||||||||||||||||||||||||
281|강수량 (mm)|20190901||||||||||||||||0.5|1.0|0.0|||||||
281|강수량 (mm)|20190902||||||||0.1|0.0|0.4|0.0|0.5|0.0|1.0|0.5||0.0|0.5|0.0|0.0||0.5|1.5|0.5|
281|강수량 (mm)|20190903|1.0|7.5|2.0|1.5||||1.5|6.5|4.0|6.0|2.5|0.5|0.0||||0.0|0.0||||||
281|강수량 (mm)|20190904|0.5|0.5||0.0|0.0|0.0|0.0|0.0|||||||||||||||||
281|강수량 (mm)|20190905||0.1||||||||||||||0.4|1.0|0.5|||||||
281|강수량 (mm)|20190906|||||||||||||||||||||||||
281|강수량 (mm)|20190907||0.0|0.0|0.4|0.1|0.5|0.0|2.0|0.0|0.5|||0.0|0.0|||||||||||
281|강수량 (mm)|20190908|||||||0.0||||||||||||||||||
281|강수량 (mm)|20190909|||0.0|||||||||||||0.0|||||||||
281|강수량 (mm)|20190910|||||||||||||||||||||||||
281|강수량 (mm)|20190911|||||||||||||||||||||||||
281|강수량 (mm)|20190912||||||||||0.3|0.2|0.0|0.0|1.0|0.0|2.0|0.5|0.0|||||0.5|0.0|
281|강수량 (mm)|20190913|||||||||||||||||||||||||
281|강수량 (mm)|20190914|||||||||||||||||||||||||
281|강수량 (mm)|20190915|||||||||||||||||||||||||
281|강수량 (mm)|20190916|||||||||||||||||||||||||
281|강수량 (mm)|20190917|||||||||||||||||||||||||
